Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J30	0	5	15	22	23	24	29	33	34	36	40	42	43	49	60	61	71	72	79	97
J31	0	1	7	8	10	13	14	15	24	35	43	44	48	52	53	64	68	73	79	94
J32	5	12	17	20	23	28	29	39	41	42	49	66	67	76	79	80	83	92	94	95
J33	6	11	12	13	14	23	28	33	34	39	49	52	56	60	71	76	82	86	90	93
J34	2	9	12	14	19	20	23	24	28	44	45	51	54	58	61	66	77	79	82	89
J35	4	8	11	12	14	22	23	28	36	42	47	48	49	53	54	60	67	85	88	99
J36	5	9	16	17	43	50	51	55	56	57	58	65	69	71	76	78	85	86	88	89
J37	1	3	6	9	17	20	21	35	38	43	44	50	52	55	73	74	82	97	98	99
J38	2	4	11	12	20	23	30	35	36	49	53	55	56	57	58	61	66	83	98	99
J39	0	2	5	9	11	17	18	24	26	30	33	38	44	52	57	70	72	78	81	84
J40	5	7	8	9	16	25	41	43	51	55	57	62	67	74	77	80	83	86	90	99
J41	4	9	11	22	26	29	33	37	41	47	50	52	58	64	65	71	77	82	86	98
J42	3	12	18	20	21	29	35	41	47	48	64	67	73	74	75	80	83	86	89	99
J43	6	8	17	18	19	30	31	32	39	53	54	58	75	77	84	86	90	93	94	96
J44	0	8	15	18	23	28	32	36	38	40	44	52	54	72	77	78	80	81	87	99
J45	0	1	3	14	18	24	30	33	37	41	42	57	67	68	69	70	74	80	86	90
J46	0	2	5	9	12	24	25	28	31	32	41	45	50	63	78	81	93	94	97	98
J47	7	10	11	18	21	31	34	39	42	50	70	75	78	80	82	89	92	95	96	97
J48	0	5	9	13	14	15	18	30	34	35	37	45	47	56	64	68	70	74	88	98
J49	21	29	31	37	40	44	45	50	55	61	62	79	80	81	83	85	86	88	95	97
J50	0	6	8	20	24	26	27	28	30	34	39	40	42	43	54	66	68	71	73	82
J51	1	3	4	10	16	21	40	41	46	47	51	53	57	60	63	75	82	83	89	98
J52	1	6	9	13	18	26	31	37	45	50	53	65	69	73	80	81	85	87	89	99
J53	6	8	10	12	18	21	28	32	34	39	41	42	49	50	56	59	62	82	86	95
J54	6	15	17	18	22	23	38	40	43	45	53	56	74	86	87	88	91	94	97	98
J55	3	4	5	26	32	37	40	44	49	50	54	63	64	67	73	74	89	96	97	99
J56	8	12	16	17	24	28	30	31	35	36	47	56	60	63	74	80	82	88	91	92
J57	2	5	9	25	28	41	44	50	58	64	67	73	78	79	83	85	93	95	97	98
J58	8	11	13	16	19	22	23	25	48	51	56	61	66	74	78	80	85	90	92	95
J59	7	14	16	20	27	30	35	45	52	53	56	63	76	81	83	89	91	92	94	96
J60	2	4	12	14	17	22	26	40	41	42	43	45	47	60	67	68	76	87	88	93
J61	0	6	14	26	27	30	34	35	40	51	53	55	60	61	64	68	70	74	84	88
J62	9	14	19	20	23	24	25	27	31	32	33	36	41	43	44	49	61	62	66	81
J63	1	3	18	24	33	36	41	47	48	52	54	57	65	69	74	78	82	91	92	99
J64	3	5	6	9	11	16	21	29	37	38	47	51	54	66	68	69	84	85	93	98
J65	1	7	8	11	14	18	21	23	27	31	39	45	58	69	72	79	83	86	92	98
J66	4	14	16	17	23	26	33	36	38	44	54	57	62	66	76	78	88	92	94	99
J67	3	7	9	14	18	25	26	36	46	49	50	62	64	75	76	85	89	91	94	98
J68	3	5	6	8	22	23	24	25	28	32	45	46	53	54	57	71	78	82	88	94
J69	0	1	14	15	24	29	30	34	45	55	58	69	72	73	76	83	86	94	95	98
J70	0	12	13	17	30	33	38	39	41	44	46	47	66	80	81	83	89	90	91	94
J71	11	24	27	30	36	39	44	46	50	53	55	59	61	63	66	69	73	81	90	94
J72	0	8	9	11	16	20	25	31	35	39	45	47	52	64	68	70	74	87	90	93
J73	11	14	18	30	39	41	50	59	69	71	73	74	81	83	91	92	93	94	98	99
J74	11	13	17	24	28	40	41	42	43	46	48	49	53	57	61	71	87	92	96	99
J75	1	11	15	26	27	37	38	39	48	57	59	64	73	76	78	85	87	94	95	98
J76	0	6	7	10	18	22	29	30	31	48	50	52	55	56	61	67	68	80	86	96
J77	0	2	5	7	16	27	28	31	32	38	41	49	56	76	80	83	85	89	91	98
J78	7	21	24	29	33	36	41	45	46	53	63	67	71	72	81	83	84	86	87	94
J79	2	3	4	7	9	15	20	26	30	37	38	43	47	51	55	67	77	85	86	87
J80	0	6	12	17	20	22	30	36	41	42	50	55	77	81	86	88	91	93	95	98
J81	14	16	23	30	33	39	43	47	52	63	65	67	68	74	83	86	87	92	94	97
J82	1	6	14	21	22	42	47	48	49	52	53	59	62	64	69	79	85	88	90	93
J83	0	4	11	13	30	37	40	43	44	45	50	51	61	65	71	74	76	79	83	85
J84	2	3	4	8	11	12	16	19	22	25	42	45	50	55	57	65	68	81	88	95
J85	2	4	7	10	13	23	25	30	31	36	44	45	47	51	58	60	63	71	84	92
J86	1	14	19	24	26	33	38	42	45	47	51	59	60	61	64	71	87	96	98	99
J87	6	15	17	24	30	42	43	47	51	53	54	59	67	83	85	87	93	96	98	99
J88	11	17	23	28	30	33	41	45	46	47	51	57	60	66	76	77	84	86	94	95
J89	1	11	17	25	33	41	44	48	50	56	59	60	63	64	67	68	76	83	86	88
J90	17	20	24	25	26	31	32	34	37	52	55	57	62	66	73	80	88	92	93	94
J91	0	8	14	22	23	25	26	27	31	34	35	36	55	58	64	66	67	81	85	91
J92	5	13	21	27	29	35	42	48	51	55	58	60	61	62	63	70	86	89	90	92
J93	1	7	14	19	20	28	34	43	49	52	53	54	69	74	77	81	82	84	90	94
J94	7	13	14	21	23	26	37	42	46	47	54	59	60	67	72	83	84	88	90	94
J95	1	16	20	23	27	41	44	48	53	55	57	69	72	79	84	85	86	87	91	94
J96	3	6	9	15	18	19	22	24	32	42	51	62	64	65	70	73	75	86	94	95
J97	1	5	8	16	31	34	38	39	43	44	45	49	50	51	55	57	63	85	92	97
J98	2	18	26	27	38	39	45	46	51	55	63	64	68	70	72	73	76	84	89	96
J99	2	4	6	10	16	26	28	32	34	38	39	42	53	62	69	82	89	90	92	97
J100	2	6	7	11	12	21	27	28	38	48	51	56	58	60	66	67	77	90	91	95
J101	1	2	3	5	12	16	19	20	27	30	33	39	49	51	59	68	74	80	82	83
J102	4	9	11	13	21	24	35	47	48	57	62	64	70	72	76	85	89	91	94	95
J103	5	24	25	26	29	30	32	35	45	58	61	72	77	85	86	91	92	95	97	99
J104	7	10	17	20	23	31	33	35	37	41	44	49	50	53	64	65	68	70	71	85
J105	0	1	2	3	4	9	10	15	23	25	28	34	41	48	54	72	76	86	87	93
J106	1	9	10	12	15	20	21	25	29	40	55	68	72	75	77	78	82	87	88	97
J107	6	13	18	22	26	30	33	34	36	38	40	45	53	54	61	62	64	69	75	91
J108	1	9	18	25	28	32	35	41	43	44	48	53	59	61	62	67	85	86	90	97
J109	0	1	6	13	16	19	20	29	39	40	49	50	65	77	79	80	89	92	94	98
J110	1	13	16	21	22	23	30	35	39	53	61	62	63	65	66	67	72	75	81	92
J111	7	18	25	30	32	41	44	52	56	58	59	61	71	72	79	82	86	88	96	98
J112	0	9	10	15	18	24	37	47	51	57	58	60	61	63	67	74	78	88	94	97
J113	4	11	13	17	27	31	32	34	36	37	38	41	52	71	81	83	84	87	88	91
J114	1	7	11	13	17	25	27	29	32	44	48	49	50	71	74	76	80	88	90	91
J115	2	9	10	17	19	23	26	30	31	32	38	39	40	47	56	63	72	84	88	92
J116	3	4	7	8	11	21	31	35	39	45	46	47	53	56	59	64	80	82	83	92
J117	0	2	14	23	25	30	31	36	37	42	45	46	48	64	65	66	67	73	74	99
J118	2	11	12	14	15	23	29	32	33	41	53	56	60	63	65	74	82	83	90	92
J119	2	3	5	8	25	29	36	38	41	45	50	52	55	64	69	73	79	81	82	87
J120	2	9	10	11	12	19	21	27	29	31	35	47	48	56	61	74	75	77	84	94
J121	0	2	3	9	10	15	27	34	35	40	59	69	70	71	73	75	82	89	91	99
J122	8	12	14	20	21	24	27	30	35	36	43	58	59	77	82	84	85	86	88	95
J123	6	8	19	26	30	33	44	45	50	54	58	60	64	65	66	69	76	81	85	90
J124	2	6	8	11	25	26	28	32	39	40	41	59	64	67	69	70	76	81	84	95
J125	0	8	12	23	26	34	45	48	51	52	62	66	68	69	71	77	82	86	92	94
J126	1	3	7	8	9	12	14	20	29	37	38	40	41	46	56	63	68	83	96	97
J127	3	7	22	24	27	29	38	39	41	45	48	54	59	62	65	67	71	78	79	86
J128	3	5	17	24	31	34	43	45	46	47	49	52	57	58	59	74	84	86	88	97
J129	10	13	17	21	26	28	36	37	38	41	43	44	47	60	65	76	78	80	84	90
J130	3	5	10	15	16	17	19	21	37	38	41	44	49	51	52	76	84	85	94	99
J131	9	10	12	23	24	27	42	43	45	47	48	55	62	69	70	75	80	90	94	98
J132	2	6	7	10	12	21	27	29	40	42	45	49	51	58	71	74	76	79	86	96
J133	2	13	21	32	34	38	42	45	48	52	53	57	62	66	71	75	79	86	92	95
J134	7	13	15	20	21	22	24	25	27	38	47	48	55	63	65	67	71	73	85	99
J135	5	13	27	33	37	41	48	49	53	54	58	59	60	68	78	80	84	86	95	97
J136	6	7	16	20	22	30	33	35	41	47	50	53	54	55	59	71	80	87	89	91
J137	3	10	18	19	29	32	42	44	50	54	55	64	65	69	74	80	81	82	87	91
J138	3	10	12	15	20	25	29	32	41	48	52	53	54	58	69	77	79	81	82	88
J139	2	6	8	10	11	13	23	24	33	43	49	51	55	65	66	71	75	85	89	93
J140	4	10	14	15	16	20	28	30	43	50	51	56	57	60	62	65	78	83	92	95
J141	4	10	14	19	24	25	30	40	46	51	56	66	79	84	87	89	90	92	93	99
J142	7	13	14	24	25	31	35	38	44	51	54	55	60	63	68	82	89	94	96	98
J143	5	18	22	26	32	33	38	45	47	48	53	54	58	69	76	78	80	81	82	83
J144	14	15	25	36	38	41	45	46	50	51	59	60	62	66	74	81	85	87	95	99
J145	3	5	22	33	34	39	40	41	42	43	45	46	50	57	64	70	76	79	85	99
J146	3	6	17	24	26	37	43	47	49	57	59	60	67	73	75	87	88	92	93	96
J147	2	4	6	7	8	21	23	26	35	40	48	56	59	65	73	81	82	85	88	98
J148	0	9	10	12	22	24	26	33	40	41	43	45	49	60	77	81	84	85	91	98
J149	10	18	24	25	29	38	39	43	45	49	50	55	58	63	66	70	82	85	90	93
J150	7	9	15	18	20	23	25	26	29	37	38	39	48	50	52	54	55	79	89	96
J151	4	7	11	12	25	33	34	39	45	48	50	51	56	73	78	81	84	85	90	94
J152	6	8	9	18	19	27	28	46	48	51	52	60	66	73	75	81	83	86	87	95
J153	4	9	10	11	12	28	36	39	43	50	51	63	64	67	69	71	75	76	79	97
J154	4	6	12	28	30	43	44	45	49	51	55	62	65	66	73	79	81	88	92	98
J155	1	5	15	17	18	24	26	27	29	32	33	34	37	38	42	47	50	70	72	93
J156	1	10	19	20	24	32	38	40	42	48	50	59	66	68	77	82	85	91	95	98
J157	4	8	16	17	23	30	38	44	51	54	57	59	62	63	66	81	84	86	88	90
J158	6	13	24	31	36	51	52	53	54	55	56	62	63	66	70	72	86	89	93	98
J159	5	8	11	14	29	35	45	48	53	55	61	65	67	68	73	74	75	79	86	96
J160	0	1	23	25	26	29	33	37	38	42	48	56	62	65	66	68	83	89	92	94
J161	2	4	11	13	16	32	33	43	50	55	58	60	61	69	73	80	82	83	92	98
J162	1	8	12	18	25	27	29	41	49	61	62	70	74	80	81	83	86	91	95	98
J163	6	9	11	13	15	18	19	26	30	33	47	52	53	59	69	78	81	83	85	96
J164	12	15	24	40	45	47	49	54	55	59	63	64	69	73	77	80	81	84	87	96
J165	1	9	14	15	29	39	41	43	45	46	49	60	61	65	67	71	76	82	89	92
J166	12	15	17	21	22	24	30	31	34	38	62	70	72	76	77	81	87	89	92	94
J167	1	17	23	29	30	35	36	43	51	52	57	59	63	65	76	82	86	95	96	99
J168	0	1	13	14	15	19	20	23	25	27	40	46	53	55	57	69	77	79	83	89
J169	4	11	23	24	25	39	42	43	53	54	55	59	65	68	75	78	91	94	95	96
J170	0	13	14	22	27	29	34	36	47	53	56	61	65	66	69	73	77	89	97	98
J171	4	6	10	12	14	35	41	48	51	57	60	62	69	71	76	81	84	86	91	92
J172	12	13	14	19	26	30	34	35	38	46	52	53	55	56	57	67	71	73	91	95
J173	1	3	4	6	11	15	21	22	28	32	43	44	47	51	52	57	63	73	84	88
J174	0	5	11	12	17	23	26	31	33	35	41	58	63	68	69	72	76	83	91	92
J175	2	19	25	29	39	43	45	51	56	57	63	64	75	77	82	83	84	91	92	98
J176	0	5	9	15	21	30	31	41	47	49	50	53	55	65	72	75	76	82	89	91
J177	1	3	5	16	19	22	29	33	34	39	42	43	54	71	77	80	83	88	89	98
J178	0	4	11	12	17	18	27	33	37	39	42	44	48	51	59	85	91	94	97	98
J179	2	11	23	25	30	33	35	38	39	48	50	52	58	61	64	65	73	83	84	99
J180	1	7	16	24	33	34	40	45	48	51	54	55	56	64	71	72	74	76	77	95
J181	2	6	17	19	24	25	26	28	37	41	49	50	63	71	72	78	82	93	95	97
J182	0	1	8	10	12	18	25	26	30	35	44	55	61	62	65	67	69	84	85	93
J183	9	14	24	28	33	40	41	42	48	54	59	62	64	65	73	74	79	84	96	97
J184	0	4	16	19	21	24	27	29	31	45	50	58	72	86	88	92	93	94	95	96
J185	19	21	27	31	37	40	47	48	51	56	58	60	66	72	73	78	81	83	94	98
J186	4	5	11	17	21	23	24	25	27	38	40	62	64	68	69	88	90	94	96	97
J187	3	7	12	20	23	27	28	31	36	42	44	55	58	76	79	80	83	84	88	93
J188	0	1	21	25	26	30	33	39	47	54	57	62	64	71	78	86	90	92	94	95
J189	20	21	29	31	32	34	35	37	46	47	48	49	51	52	74	77	79	81	83	86
J190	0	1	16	17	22	23	25	29	30	42	46	49	51	53	81	83	84	87	88	90
J191	2	6	7	9	13	14	18	25	27	36	47	50	53	68	69	75	79	80	88	90
J192	5	6	10	17	23	34	35	44	53	54	56	61	65	68	69	75	77	80	86	88
J193	6	11	13	15	20	22	24	28	44	49	54	59	61	66	70	74	86	95	96	97
J194	9	13	18	22	28	33	34	37	41	46	48	62	63	65	72	76	77	85	87	93
J195	4	8	12	14	16	25	28	36	42	45	48	49	51	52	53	54	61	66	81	92
J196	3	4	12	14	16	17	19	23	33	34	35	38	48	51	58	66	78	84	93	97
J197	8	11	12	13	14	24	26	36	37	38	42	52	54	57	58	61	90	91	92	99
J198	1	7	12	14	16	25	33	55	57	59	64	65	66	68	76	77	78	85	92	93
J199	1	8	10	16	19	25	31	34	37	38	43	47	68	70	80	83	85	89	91	99
J200	12	20	23	27	29	32	33	35	38	56	58	66	74	76	79	82	84	90	93	97
J201	1	4	15	16	19	38	40	48	59	61	62	64	74	75	82	83	87	88	89	96
J202	5	7	9	11	15	26	39	45	56	60	61	62	64	70	73	80	81	82	85	96
J203	1	14	22	29	31	34	37	39	40	67	68	71	72	74	83	84	88	90	91	99
J204	6	16	17	27	30	38	40	44	45	46	49	50	55	59	62	67	70	88	89	96
J205	9	10	28	33	41	44	47	48	49	57	64	71	74	75	76	80	81	85	86	99
J206	5	6	11	17	23	25	32	37	41	44	49	58	59	62	65	67	76	80	89	99
J207	5	10	11	14	17	28	32	33	38	39	46	64	65	70	71	74	77	80	81	90
J208	3	7	8	11	17	29	31	37	43	44	59	60	66	68	69	77	87	90	95	96
J209	3	4	8	13	32	38	39	41	50	53	55	57	64	76	77	85	88	90	94	97
J210	6	7	14	20	35	40	41	47	49	57	60	66	70	76	77	79	83	84	86	98
J211	3	9	13	15	20	26	32	38	41	44	46	47	50	59	60	61	64	70	87	97
J212	3	6	8	9	12	15	22	27	37	40	43	44	46	47	54	61	80	89	96	99
J213	1	5	15	17	22	23	28	31	41	44	47	54	55	56	57	67	71	72	78	82
J214	1	5	8	9	14	16	23	28	47	50	54	56	65	66	70	74	75	90	96	99
J215	8	14	20	31	39	42	43	54	55	56	62	64	65	67	69	73	74	85	92	98
J216	2	6	9	13	14	22	28	33	36	42	44	47	52	53	61	62	64	77	82	99
J217	9	12	18	21	22	35	43	46	52	59	60	72	74	75	76	77	82	95	96	99
J218	5	12	15	25	34	43	45	48	54	60	61	65	68	70	72	78	79	80	87	95
J219	5	7	18	21	23	27	32	33	39	42	58	65	72	75	76	77	78	83	91	94
J220	8	12	16	23	24	26	27	30	36	45	48	49	56	62	69	72	73	74	81	87
J221	10	24	25	28	34	37	41	44	45	46	48	49	51	55	66	78	84	91	94	98
J222	4	10	11	24	32	33	34	38	43	50	53	62	65	75	79	89	92	96	97	99
J223	5	6	16	17	25	26	32	39	43	48	52	58	72	75	83	92	94	95	97	99
J224	2	6	8	10	15	18	21	23	24	33	41	43	45	55	64	65	67	74	81	90
J225	3	14	15	16	23	29	32	33	34	36	41	44	49	54	60	64	65	66	78	99
J226	5	12	14	16	20	23	24	25	28	29	32	33	42	46	49	52	64	68	87	92
J227	2	6	10	26	28	31	37	41	42	45	58	61	68	69	71	74	78	85	94	97
J228	1	5	7	19	21	22	27	35	42	56	60	62	64	67	68	71	86	93	94	96
J229	1	4	20	33	40	49	52	56	59	64	66	75	78	81	84	85	91	92	94	98
J230	5	20	21	24	36	41	50	55	57	62	63	64	65	74	79	81	83	85	87	91
J231	0	11	15	19	22	24	25	26	27	32	34	38	41	48	51	53	69	70	80	87
J232	1	4	7	10	12	17	20	22	23	33	41	49	53	59	63	68	69	73	87	99
J233	12	25	33	34	35	36	40	45	47	56	57	64	70	72	78	79	94	97	98	99
J234	5	6	12	13	15	43	44	47	54	61	66	67	73	78	85	87	90	91	92	96
J235	13	15	16	19	34	35	40	45	47	50	67	70	77	78	82	83	87	92	95	96
J236	4	7	11	12	16	19	20	22	30	33	36	47	48	49	60	63	68	78	81	91
J237	3	6	12	13	14	17	19	20	26	32	44	45	50	51	58	62	83	84	92	93
J238	4	5	13	15	20	22	24	30	35	48	64	67	69	75	83	84	87	90	91	95
J239	9	20	26	32	36	37	42	48	52	54	55	58	70	74	84	85	90	97	98	99
J240	4	11	29	38	39	44	46	48	49	51	60	71	72	73	76	77	84	87	88	89
J241	7	8	10	24	25	28	29	32	34	35	39	54	55	56	58	73	83	87	88	98
J242	1	4	6	9	13	22	23	27	29	33	35	45	50	53	55	65	70	76	87	97
J243	12	14	27	32	42	49	50	52	61	66	68	72	76	77	78	86	90	92	94	96
J244	0	8	15	16	24	32	37	41	43	48	49	54	55	60	70	82	87	91	95	98
J245	3	4	9	12	15	18	22	33	36	42	43	48	55	58	68	69	75	76	93	95
J246	7	9	12	14	18	20	22	37	41	43	44	53	55	71	73	74	78	84	90	97
J247	0	4	11	13	20	25	29	39	40	42	44	53	54	62	65	82	86	90	93	96
J248	1	5	10	12	16	18	22	31	38	42	44	48	52	66	69	74	81	82	86	89
J249	4	14	27	29	30	31	35	46	47	48	53	56	58	60	71	78	80	88	89	94
J250	7	9	14	25	38	42	48	50	55	57	59	64	65	67	85	91	92	95	97	99
J251	0	14	15	25	26	30	32	43	47	49	53	62	65	66	69	72	76	85	94	98
J252	9	13	21	23	25	30	34	36	37	38	47	53	57	61	72	73	74	85	87	88
J253	1	2	4	6	10	12	17	21	22	24	48	52	54	62	66	72	76	77	95	99
J254	1	2	3	4	10	21	23	29	33	43	49	50	51	60	66	70	74	77	78	80
J255	0	11	15	23	32	33	34	47	50	56	65	66	68	70	71	72	73	75	77	97
J256	2	7	12	20	28	32	34	36	37	39	48	54	58	65	73	77	90	92	98	99
J257	4	8	12	14	22	32	39	40	52	62	66	67	68	74	76	86	88	89	91	93
J258	17	22	23	27	37	39	42	49	55	58	59	63	64	73	77	78	79	80	87	94
J259	0	3	9	11	12	25	29	31	32	46	54	60	63	66	67	68	72	75	82	84
J260	4	13	20	24	26	32	36	37	47	50	51	56	58	61	62	67	68	90	92	94
J261	0	7	11	16	24	28	33	34	37	42	44	47	50	54	61	64	80	92	93	95
J262	9	11	12	14	16	35	36	44	52	53	54	61	64	69	84	92	94	97	98	99
J263	0	19	26	31	32	36	41	48	49	52	53	57	59	78	79	83	85	86	93	96
J264	10	21	25	26	29	33	39	48	49	52	53	57	58	59	63	68	73	76	77	81
J265	4	9	18	29	30	33	41	43	48	53	58	60	69	74	76	85	86	88	90	95
J266	12	13	14	17	19	20	29	36	38	48	62	69	74	76	78	80	83	93	97	99
J267	3	10	17	20	22	38	46	48	49	50	51	55	57	61	69	71	72	85	89	96
J268	2	7	11	15	19	21	28	35	36	38	40	43	54	60	63	64	72	73	85	91
J269	3	10	23	27	28	32	33	35	38	40	48	54	56	57	59	67	69	83	91	95
J270	0	1	10	12	29	30	32	34	35	36	39	43	46	55	58	61	69	71	95	97
J271	4	6	11	21	26	29	35	39	40	42	57	60	65	70	74	76	78	84	89	92
J272	3	6	15	22	23	42	44	50	51	55	63	65	69	70	90	93	94	95	97	99
J273	2	3	5	6	10	20	22	25	42	45	59	61	65	71	74	77	79	85	96	97
J274	0	4	8	15	18	19	20	41	42	47	54	55	60	71	76	89	93	97	98	99
J275	10	14	20	22	23	25	32	33	34	42	43	51	65	71	75	84	85	87	90	91
J276	3	5	7	25	26	29	30	41	45	47	56	59	62	76	77	78	82	84	90	99
J277	4	6	8	12	14	33	37	47	50	55	60	61	67	71	72	78	82	87	92	94
J278	3	5	14	17	21	35	39	44	47	48	50	52	64	67	68	78	94	96	98	99
J279	1	5	7	16	20	25	30	35	36	51	58	59	62	73	79	81	86	87	91	94
J280	2	3	10	22	23	33	45	49	53	57	61	63	64	65	72	82	84	90	95	99
J281	1	2	7	14	17	21	30	32	34	36	49	50	52	53	61	64	71	74	76	80
J282	1	11	15	17	18	20	21	31	36	44	55	56	59	60	61	66	69	77	87	98
J283	5	7	19	27	30	39	40	45	47	48	49	50	51	54	60	61	64	81	82	91
J284	1	7	14	17	23	26	29	31	33	35	36	47	48	51	61	69	71	81	82	91
J285	4	5	10	23	26	38	46	49	50	52	61	63	75	76	81	82	85	86	97	98
J286	1	5	14	17	19	21	23	27	35	37	39	43	44	50	55	64	68	71	92	96
J287	3	6	15	16	22	31	43	50	51	58	64	70	73	74	77	78	82	92	93	96
J288	1	8	15	20	29	34	40	41	44	52	53	54	57	67	70	84	87	91	94	95
J289	3	5	6	15	16	18	25	26	27	33	39	43	49	61	64	65	70	72	74	99
J290	3	4	17	18	20	22	24	25	30	34	41	50	55	62	65	76	81	85	86	99
J291	3	8	12	24	25	30	36	37	42	44	47	49	50	52	54	59	70	82	85	91
J292	7	9	12	18	22	23	28	37	49	50	55	58	67	71	73	76	83	94	95	96
J293	6	8	18	19	23	27	28	29	45	46	54	63	72	76	77	78	80	89	93	96
J294	1	7	8	11	24	26	32	38	39	43	46	51	54	63	66	70	80	90	92	95
J295	12	18	23	25	26	27	34	35	36	37	61	63	65	73	78	79	82	86	95	96
J296	12	14	15	17	21	32	34	37	42	44	48	55	56	74	78	82	90	93	95	97
J297	8	12	13	24	27	30	31	34	37	38	39	46	47	59	63	66	67	71	85	88
J298	3	14	16	17	18	30	41	46	47	52	59	61	62	68	69	75	79	84	96	99
J299	7	8	12	13	24	26	27	48	49	54	57	58	59	62	66	71	81	88	90	97
J300	5	6	12	13	19	20	21	24	30	54	55	59	72	76	77	82	84	91	95	97
J301	10	14	25	41	45	48	55	61	64	65	70	72	73	82	85	88	94	96	97	98
J302	0	2	3	5	17	19	22	31	33	38	41	49	56	58	71	84	87	90	92	96
J303	0	4	7	15	21	27	38	39	54	55	58	71	74	75	85	88	90	91	94	95
J304	0	1	11	15	19	20	24	27	34	41	47	62	63	66	68	71	75	85	91	94
J305	1	2	3	10	24	27	32	52	53	62	70	72	78	79	80	87	91	94	97	98
J306	4	19	24	28	34	35	37	46	47	49	58	59	71	81	86	88	89	93	97	98
J307	9	14	15	30	47	52	57	60	64	66	68	73	74	76	78	79	81	88	91	97
J308	2	8	12	15	19	20	42	44	55	56	65	67	73	75	76	79	85	88	94	99
J309	6	7	9	14	24	31	37	42	43	52	54	60	64	65	74	82	84	85	90	95
J310	0	7	15	24	37	39	42	46	56	61	62	64	65	68	72	76	78	79	80	86
J311	5	13	19	25	31	32	36	41	48	52	55	70	72	73	76	79	83	88	89	96
J312	11	14	21	29	36	43	45	51	53	56	57	62	64	67	68	70	81	90	91	97
J313	3	9	11	20	23	25	26	27	38	43	45	56	60	68	72	73	80	89	91	92
J314	2	3	8	12	16	18	22	28	29	43	48	53	63	68	75	76	91	93	96	97
J315	2	8	11	17	18	22	32	35	39	40	45	46	53	55	62	65	68	76	91	99
J316	1	17	20	22	23	25	27	28	49	51	58	64	67	68	71	74	76	84	92	95
J317	3	14	19	22	35	43	52	54	56	57	67	71	79	83	84	87	90	91	96	99
J318	0	3	11	16	20	22	23	24	25	33	37	39	43	47	69	72	84	86	87	93
J319	0	1	2	10	21	23	31	34	36	50	52	59	66	70	71	72	78	85	90	94
J320	1	12	19	23	25	29	34	35	36	42	44	45	48	56	60	63	66	69	85	94
J321	1	4	13	15	21	30	32	37	43	50	57	59	60	62	76	79	82	92	93	94
J322	0	3	5	12	34	40	41	48	49	54	60	61	62	65	67	74	78	86	93	96
J323	6	13	16	30	41	48	55	56	60	61	64	65	66	73	75	81	88	89	94	97
J324	2	6	10	14	16	18	20	23	24	32	39	42	44	46	51	66	70	78	85	99
J325	1	7	10	32	36	39	40	43	46	58	59	61	69	74	78	80	83	86	95	99
J326	10	12	13	14	25	29	36	41	45	50	51	54	57	63	66	76	80	83	84	96
J327	0	9	13	14	16	22	32	33	38	39	43	49	51	76	79	82	89	90	93	95
J328	0	3	11	27	30	31	33	45	53	54	55	64	65	74	81	89	90	91	94	96
J329	2	9	10	16	24	26	27	29	32	33	35	42	48	61	65	75	82	86	95	98
J330	1	2	3	8	14	23	29	33	34	38	43	44	49	52	55	62	65	71	74	94
J331	1	2	10	12	14	18	40	45	46	47	50	53	59	75	77	79	82	85	92	95
J332	6	16	18	25	26	27	29	30	39	42	44	48	50	58	62	82	89	94	97	98
J333	4	17	21	32	36	46	47	54	57	58	60	61	67	70	81	83	94	95	97	98
J334	2	10	12	16	20	31	40	43	47	48	50	51	54	61	63	67	75	86	91	98
J335	19	22	23	30	34	35	37	44	49	51	54	55	68	72	76	78	83	85	90	92
J336	4	7	17	19	47	49	50	51	54	55	57	58	73	75	81	82	86	88	89	96
J337	3	11	12	13	15	22	24	32	34	39	42	43	51	52	64	65	77	80	92	93
J338	4	6	8	18	26	27	43	44	45	54	56	57	62	69	70	73	74	89	93	97
J339	0	4	7	9	15	19	22	27	35	37	46	59	63	64	68	75	77	78	87	99
J340	2	4	6	7	12	20	40	41	42	55	64	68	70	74	76	82	90	94	97	99
J341	1	4	12	15	22	25	26	33	36	41	48	52	63	71	73	79	80	85	92	95
J342	12	18	19	21	22	36	40	43	46	49	50	51	61	62	63	64	72	75	78	79
J343	3	9	16	18	35	39	41	43	44	45	46	47	51	53	56	71	77	84	92	94
J344	10	13	18	23	33	38	47	54	55	58	59	63	64	67	71	89	91	94	98	99
J345	1	2	6	19	25	28	39	43	44	45	51	56	59	70	78	85	86	92	93	95
J346	2	4	6	11	17	21	31	35	38	44	48	49	52	54	67	69	78	86	93	94
J347	3	5	6	9	10	13	15	23	25	33	42	45	46	62	75	79	82	83	84	96
J348	4	11	22	29	30	31	33	34	46	53	61	82	83	87	90	93	94	96	98	99
J349	4	9	13	16	21	25	27	28	33	46	49	51	65	67	80	81	82	85	96	99
J350	11	24	25	28	31	40	42	47	48	51	52	54	56	65	67	70	75	81	86	92
J351	1	9	11	13	15	25	30	32	41	43	50	52	56	65	72	75	76	80	83	84
J352	0	16	20	30	39	43	48	54	56	66	70	75	79	81	82	83	88	91	92	96
