Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J2170	8	11	13	31	38	48	50	51	57	60	63	74	76	79	83	85	91	92	93	97
J2171	3	12	14	17	19	20	23	27	35	37	47	51	64	67	72	76	81	83	94	99
J2172	2	3	4	8	9	13	16	20	25	29	30	32	38	49	51	53	54	55	69	82
J2173	0	4	17	23	24	27	36	44	45	49	53	64	65	66	67	77	80	82	97	98
J2174	10	28	32	36	43	44	45	46	54	59	64	66	71	73	74	80	82	86	94	95
J2175	1	5	6	19	20	22	26	28	31	37	40	46	54	55	57	59	66	75	87	92
J2176	10	14	20	23	25	29	38	40	42	43	57	60	63	65	66	68	75	89	93	96
J2177	6	7	8	24	29	31	34	36	43	50	51	52	57	65	68	87	88	91	96	97
J2178	2	15	20	23	30	34	39	40	54	56	62	75	81	83	86	87	89	90	91	95
J2179	1	3	6	13	18	20	22	23	29	35	39	40	45	59	65	80	82	85	95	98
J2180	7	8	13	15	30	34	39	44	46	53	54	56	63	74	76	85	87	89	91	95
J2181	1	2	7	15	19	20	21	30	37	39	46	47	49	57	60	67	73	81	84	88
J2182	0	15	17	18	36	38	42	45	48	52	56	60	66	67	71	75	76	85	89	92
J2183	2	3	5	8	13	15	18	29	40	52	56	65	68	77	78	80	81	86	89	98
J2184	3	7	10	14	17	24	30	32	45	48	55	58	60	62	83	87	92	94	97	99
J2185	3	4	11	13	21	23	27	30	35	37	51	56	63	65	67	76	81	84	93	94
J2186	7	8	9	13	17	23	26	37	39	40	42	43	45	53	55	58	72	77	82	87
J2187	0	3	7	12	20	25	31	35	40	42	44	49	69	74	77	87	92	95	98	99
J2188	4	11	14	20	24	26	29	30	36	43	46	62	63	65	67	68	71	79	82	91
J2189	7	16	33	34	38	43	44	54	55	59	67	74	78	79	81	91	95	96	97	98
J2190	9	20	25	34	35	37	40	42	47	51	59	62	63	65	68	80	81	82	91	98
J2191	4	12	24	25	29	30	34	40	56	60	67	69	72	74	83	88	94	97	98	99
J2192	3	5	8	11	28	30	37	38	40	42	46	51	61	63	65	75	86	90	92	94
J2193	2	4	7	12	17	19	33	40	43	44	46	48	52	63	67	71	72	85	95	96
J2194	7	10	14	24	28	32	33	36	40	53	56	60	68	73	79	80	81	93	95	98
J2195	6	18	19	23	31	40	51	53	54	64	69	74	79	84	88	92	95	96	97	99
J2196	9	13	16	22	23	31	37	38	42	51	57	60	62	63	67	70	85	90	92	93
J2197	1	2	5	6	17	20	22	26	28	31	33	42	46	57	58	81	83	92	98	99
J2198	7	16	17	22	24	26	31	35	38	41	46	48	55	57	62	71	77	90	97	98
J2199	10	16	24	28	30	31	32	41	43	46	52	58	62	71	78	80	83	87	88	94
J2200	14	17	20	22	30	32	34	60	64	66	71	75	76	77	87	90	91	93	94	97
J2201	6	17	19	24	27	30	35	38	42	46	48	49	61	68	74	75	79	80	92	97
J2202	1	4	14	15	19	21	28	32	33	35	47	53	65	68	74	75	79	81	84	93
J2203	1	4	14	16	20	26	34	50	51	52	54	62	72	76	77	84	94	97	98	99
J2204	1	4	13	27	35	36	38	46	54	55	56	59	60	63	69	74	78	81	82	99
J2205	12	19	22	25	30	35	38	40	51	52	54	55	61	62	67	69	71	78	83	94
