Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15
J2299	1	3	5	7	8	9	11	12	14	15	16	20	21	23	25
J2300	1	2	3	4	8	9	13	15	16	17	19	22	23	24	25
J2301	3	5	9	10	12	13	15	16	17	18	19	20	22	24	25
J2302	3	4	6	7	8	10	11	12	13	14	16	17	18	20	21
J2303	1	3	5	7	8	10	11	12	15	18	19	20	21	22	24
J2304	1	2	6	8	9	11	12	13	14	16	18	20	21	22	24
J2305	1	5	7	8	10	11	14	16	17	18	19	22	23	24	25
J2306	1	4	5	6	7	8	9	11	14	15	16	18	20	21	22
J2307	1	4	5	6	8	9	11	12	13	14	15	17	19	20	23
J2308	1	2	3	4	6	10	15	17	18	19	20	22	23	24	25
J2309	1	3	4	7	9	10	11	12	13	17	18	19	22	24	25
J2310	1	3	5	6	7	10	11	13	16	18	20	22	23	24	25
J2311	1	3	4	5	9	10	12	13	14	15	18	19	20	21	25
J2312	1	2	3	6	7	10	11	12	14	15	18	20	21	22	25
J2313	4	5	6	7	8	10	11	12	14	15	18	19	20	22	25
J2314	1	2	7	8	9	11	13	14	15	17	19	20	23	24	25
J2315	3	7	8	11	12	13	14	16	17	18	19	21	22	23	25
J2316	2	3	4	5	6	9	10	13	14	15	16	17	19	24	25
J2317	1	2	3	5	6	7	9	14	15	16	17	20	21	23	25
J2318	2	5	6	7	8	11	13	16	17	18	19	20	21	24	25
J2319	2	3	8	12	13	14	15	16	17	19	21	22	23	24	25
J2320	1	2	3	5	6	9	12	13	15	17	21	22	23	24	25
J2321	1	2	6	7	8	9	10	12	13	14	15	17	22	23	24
J2322	1	2	5	6	7	11	12	13	14	16	18	21	22	23	24
J2323	1	4	7	8	11	13	14	16	17	19	21	22	23	24	25
J2324	1	2	3	5	8	9	10	11	13	14	16	17	19	20	25
J2325	1	2	3	4	5	6	7	8	9	14	17	18	21	23	25
J2326	2	3	4	5	6	8	11	12	13	14	16	20	22	23	25
J2327	1	2	3	4	6	7	8	11	13	15	17	19	20	21	25
J2328	3	4	5	6	7	8	9	11	14	15	17	20	21	23	25
J2329	1	3	4	5	10	11	12	13	14	16	17	18	19	20	24
J2330	2	4	5	8	10	11	12	13	14	15	16	18	20	22	23
J2331	3	4	5	7	8	9	10	13	14	15	16	20	22	24	25
J2332	1	4	6	7	8	9	10	11	14	17	18	20	22	24	25
J2333	1	4	6	7	8	9	10	11	13	15	17	18	19	20	23
J2334	2	3	5	7	13	14	16	17	18	20	21	22	23	24	25
J2335	2	3	4	5	6	7	9	13	15	16	19	21	22	24	25
J2336	1	3	4	6	10	11	12	13	14	16	17	18	20	22	25
J2337	1	2	4	5	6	8	9	10	11	14	16	19	20	21	24
J2338	1	2	3	4	5	7	8	10	11	12	13	15	16	19	21
J2339	1	3	6	7	8	10	11	14	18	19	20	22	23	24	25
J2340	2	5	7	8	9	11	12	13	14	17	18	20	22	23	25
J2341	2	4	5	7	9	11	12	14	15	19	20	21	22	24	25
J2342	1	2	3	4	9	10	13	15	16	18	19	20	21	22	25
J2343	1	2	5	9	12	15	16	17	18	19	20	22	23	24	25
J2344	1	3	4	6	7	9	10	11	12	13	16	17	19	20	21
J2345	3	6	7	9	10	11	12	14	16	17	19	20	23	24	25
J2346	1	4	5	8	10	11	12	14	16	17	18	19	21	22	25
J2347	2	3	5	6	8	9	11	13	15	16	17	19	21	24	25
J2348	1	2	5	8	9	11	13	14	15	17	19	20	22	23	24
J2349	2	5	6	9	10	11	12	15	16	17	18	20	21	22	23
J2350	2	3	4	5	6	7	8	9	10	15	17	19	21	22	25
J2351	1	3	4	5	6	7	8	9	10	12	14	15	20	23	24
J2352	3	4	7	8	11	12	15	16	17	18	20	22	23	24	25
J2353	1	2	3	7	8	12	13	14	15	16	18	20	23	24	25
J2354	1	2	5	6	9	10	11	12	13	16	17	18	19	20	21
J2355	2	3	4	5	6	8	9	10	11	12	18	19	20	21	25
J2356	3	5	6	7	8	9	10	13	16	18	19	20	21	22	25
J2357	1	2	4	6	7	8	9	10	12	13	14	20	23	24	25
J2358	4	5	6	7	8	11	12	14	15	16	17	20	23	24	25
J2359	3	4	5	6	7	12	14	15	17	19	20	21	22	23	24
J2360	3	5	6	8	11	12	13	15	17	18	19	21	22	23	25
J2361	3	4	5	7	10	12	13	14	16	18	19	21	22	23	24
J2362	1	4	6	7	8	10	11	12	14	18	19	21	22	24	25
J2363	1	2	3	4	8	11	12	13	14	15	20	21	22	24	25
J2364	1	5	6	7	8	9	10	11	13	15	16	17	18	22	24
J2365	2	7	8	9	11	14	15	16	17	18	20	21	22	23	25
J2366	1	3	5	7	10	11	13	15	16	18	19	20	21	22	25
J2367	2	3	5	8	9	10	11	12	14	16	17	19	22	23	25
J2368	2	3	4	7	8	9	10	11	12	14	16	18	19	22	23
J2369	2	3	5	8	9	10	11	12	13	14	15	22	23	24	25
J2370	1	7	8	9	10	11	12	13	14	16	19	20	21	24	25
J2371	3	5	6	8	11	12	13	14	15	19	21	22	23	24	25
J2372	1	2	4	5	7	8	11	13	14	15	19	20	21	22	24
J2373	2	3	4	5	6	7	8	10	13	14	15	17	21	24	25
J2374	1	3	5	7	9	10	14	15	16	17	20	21	22	23	25
J2375	4	5	8	11	12	13	14	17	18	19	20	21	22	23	25
J2376	1	2	4	6	8	9	14	15	16	17	19	21	22	23	24
J2377	1	2	3	4	5	6	8	9	10	12	14	18	19	20	24
J2378	1	2	3	4	5	10	12	14	15	16	17	21	23	24	25
J2379	1	2	3	5	7	8	9	11	12	15	16	20	23	24	25
J2380	1	3	5	6	7	9	10	11	13	14	15	17	21	22	24
J2381	1	2	5	8	9	10	11	14	15	18	19	20	23	24	25
J2382	1	2	3	4	5	6	7	9	10	11	14	15	19	21	24
J2383	1	2	3	7	9	11	12	13	14	15	16	18	20	22	24
J2384	1	3	4	5	7	9	10	11	13	15	16	18	20	22	24
J2385	1	2	3	5	10	11	12	13	16	17	18	21	22	23	24
J2386	2	3	6	7	8	10	12	13	14	15	16	17	18	23	24
J2387	2	4	5	8	9	10	12	16	17	19	20	21	22	24	25
J2388	3	4	5	7	8	9	10	12	13	15	16	17	19	23	25
J2389	4	5	6	8	9	10	11	12	18	19	21	22	23	24	25
J2390	1	2	3	4	5	6	10	11	15	19	20	21	22	23	24
J2391	3	4	5	6	8	9	11	12	14	18	19	21	22	24	25
J2392	1	2	5	6	8	11	12	13	16	17	18	22	23	24	25
J2393	2	3	5	10	11	12	15	16	17	19	20	21	22	23	25
J2394	1	4	6	7	9	10	12	17	18	19	20	21	22	23	25
J2395	1	2	5	6	7	10	13	14	15	17	18	19	20	23	25
J2396	1	3	4	7	10	12	13	16	17	18	20	22	23	24	25
J2397	2	4	6	7	9	10	13	14	15	17	18	20	21	22	25
J2398	2	3	4	5	6	9	10	12	13	14	15	20	22	23	25
J2399	1	2	4	5	7	9	12	14	15	16	17	19	20	21	25
J2400	2	3	5	9	10	11	12	13	14	15	16	20	21	23	25
J2401	1	4	5	6	7	9	10	11	12	15	16	19	20	22	23
J2402	1	2	3	4	5	6	9	10	11	13	14	18	20	23	25
J2403	1	4	5	8	10	12	16	17	18	19	20	21	23	24	25
J2404	1	2	3	4	5	7	10	11	12	14	15	22	23	24	25
J2405	2	3	4	5	6	7	8	9	11	15	17	18	19	21	23
J2406	1	2	3	5	6	8	10	12	15	17	20	21	23	24	25
J2407	1	2	3	4	6	8	9	11	12	17	18	19	20	23	24
J2408	1	3	4	6	8	9	10	11	12	13	16	19	21	22	23
J2409	1	2	5	6	7	8	9	10	12	16	19	20	21	22	25
J2410	1	2	3	4	7	9	10	13	14	16	17	19	20	22	23
J2411	1	2	3	4	5	7	8	9	10	12	13	14	17	19	24
J2412	1	4	6	7	8	9	11	13	14	15	17	18	19	21	24
J2413	1	3	4	5	6	7	8	9	12	15	16	18	20	21	25
J2414	3	4	5	6	7	8	9	10	11	13	16	17	19	21	24
J2415	2	6	7	9	10	11	12	13	14	19	20	21	22	23	25
J2416	4	5	6	7	11	13	14	15	16	17	18	20	21	22	25
J2417	1	4	6	7	8	9	10	11	14	15	17	18	22	23	25
J2418	3	4	7	8	11	12	13	14	16	17	18	19	20	23	24
J2419	2	3	5	6	10	11	12	13	15	18	19	21	22	23	24
J2420	1	3	5	9	10	11	12	13	14	15	18	21	22	24	25
J2421	3	4	5	6	7	10	13	14	16	17	19	20	21	22	24
J2422	1	2	3	4	5	7	8	10	11	12	14	17	18	22	25
J2423	3	4	5	7	8	9	10	11	15	16	17	18	19	20	24
J2424	1	3	4	5	6	9	10	11	14	15	16	20	22	23	25
J2425	1	3	4	5	6	10	11	13	15	19	20	21	22	24	25
J2426	1	2	3	6	7	8	9	11	13	19	20	21	22	23	24
J2427	1	3	6	8	11	15	16	17	18	19	20	21	22	23	24
J2428	2	5	6	7	9	10	11	12	15	16	17	18	20	24	25
J2429	1	4	5	6	8	9	10	11	12	14	15	19	20	21	24
J2430	1	4	5	7	8	10	11	12	14	17	18	19	20	21	23
J2431	4	6	7	8	9	10	11	12	13	14	17	18	19	22	25
J2432	3	5	6	7	8	9	11	12	13	14	15	19	20	21	25
J2433	1	3	4	5	6	9	10	11	12	13	15	18	20	21	24
J2434	1	4	7	11	13	14	16	17	19	20	21	22	23	24	25
J2435	2	4	5	6	7	10	11	12	13	15	16	19	20	21	22
J2436	2	3	4	6	8	9	12	14	15	16	17	19	20	21	23
J2437	1	2	7	8	9	10	11	13	14	15	17	18	20	21	25
J2438	1	4	5	6	8	11	12	13	14	16	18	19	22	23	24
J2439	2	5	7	8	9	10	11	13	15	16	17	20	21	23	25
J2440	3	4	5	6	8	9	11	14	16	18	20	21	22	24	25
J2441	1	3	7	8	9	10	11	13	15	18	20	21	22	24	25
J2442	1	6	7	10	11	12	14	15	16	17	18	19	21	22	25
J2443	2	3	5	6	7	9	10	14	15	16	17	20	21	22	23
J2444	3	4	5	6	8	9	10	11	12	14	16	17	18	19	25
J2445	1	2	5	6	7	8	10	11	13	15	18	21	22	23	25
J2446	4	6	8	11	12	13	15	17	19	20	21	22	23	24	25
J2447	2	3	4	5	8	13	14	15	16	17	18	19	20	22	23
J2448	2	3	4	5	6	8	9	11	12	14	16	19	20	22	24
J2449	1	2	4	8	9	11	13	14	15	16	17	18	20	21	22
J2450	1	2	3	4	5	7	8	11	13	14	15	18	23	24	25
J2451	3	4	5	7	9	10	11	15	18	19	20	22	23	24	25
J2452	1	6	7	8	9	11	15	17	18	20	21	22	23	24	25
J2453	4	5	7	8	10	12	13	16	17	19	21	22	23	24	25
J2454	1	2	4	6	8	9	10	12	15	16	20	21	23	24	25
J2455	1	2	3	8	10	11	12	13	14	16	19	22	23	24	25
J2456	4	5	6	8	9	10	12	13	14	17	18	19	21	24	25
J2457	1	3	5	8	10	11	14	15	16	18	20	22	23	24	25
J2458	1	2	3	4	6	8	10	11	12	16	18	21	22	24	25
J2459	1	3	5	6	11	12	14	15	17	18	19	20	21	23	25
J2460	1	2	3	4	5	6	9	11	12	14	15	18	19	23	25
J2461	1	2	5	7	10	13	14	15	17	18	19	20	21	22	24
J2462	3	4	5	9	10	11	12	14	15	16	17	18	20	22	25
J2463	5	7	9	10	11	12	13	14	15	17	18	20	21	23	25
J2464	1	5	6	7	9	11	13	16	17	20	21	22	23	24	25
J2465	2	5	6	7	8	10	11	13	14	15	17	18	19	21	25
J2466	1	2	5	7	8	9	12	13	14	17	19	20	21	24	25
J2467	5	6	8	10	11	12	14	15	16	18	20	21	22	23	25
J2468	3	4	7	8	9	12	13	17	18	19	20	21	22	23	24
J2469	1	2	4	5	6	7	11	13	17	18	19	20	21	24	25
J2470	1	3	4	5	6	9	10	11	12	13	21	22	23	24	25
J2471	2	3	4	5	8	9	14	17	18	19	20	21	23	24	25
J2472	2	3	4	9	10	12	13	15	16	17	21	22	23	24	25
J2473	1	4	6	7	8	9	10	14	16	18	19	20	21	23	25
J2474	1	2	5	6	8	9	11	14	15	17	19	20	23	24	25
J2475	1	3	4	5	6	7	11	13	15	16	18	19	22	24	25
J2476	1	6	9	10	11	12	13	15	16	17	18	21	22	23	24
J2477	1	2	3	5	7	8	9	10	13	14	15	18	19	20	24
J2478	1	5	7	8	10	11	12	14	15	16	21	22	23	24	25
J2479	2	3	4	5	7	11	12	14	17	19	20	21	23	24	25
J2480	1	2	5	6	7	9	10	12	13	14	15	16	17	21	24
J2481	2	3	5	6	7	9	10	13	14	15	17	18	20	21	25
J2482	3	5	6	7	9	11	12	13	14	16	17	20	21	24	25
J2483	2	3	6	7	8	10	13	14	15	16	19	20	22	23	25
J2484	4	5	6	8	10	11	12	14	15	17	19	21	22	23	25
J2485	1	2	3	8	10	12	14	15	17	18	20	21	23	24	25
J2486	1	2	4	5	8	9	10	11	12	18	19	20	23	24	25
J2487	1	2	6	8	10	11	12	13	14	16	18	20	22	23	24
J2488	1	2	4	5	6	7	9	11	12	13	16	20	21	22	24
J2489	1	4	5	7	8	10	11	13	14	16	18	21	22	23	24
J2490	1	3	4	5	6	10	12	13	14	15	16	19	20	24	25
J2491	1	2	3	4	5	6	9	11	14	17	18	19	21	22	24
J2492	4	7	8	9	10	11	12	13	14	15	17	20	22	23	24
J2493	2	3	6	7	9	10	11	12	14	15	16	18	20	21	25
J2494	1	2	4	5	6	8	9	10	12	13	16	18	23	24	25
J2495	3	5	9	10	12	13	14	15	16	17	18	19	21	24	25
J2496	2	3	4	8	9	10	11	13	17	18	20	22	23	24	25
J2497	2	6	7	8	9	11	12	14	15	18	19	20	22	23	25
J2498	1	2	5	6	7	8	9	11	12	17	18	19	20	22	25
J2499	2	3	4	5	7	8	11	12	14	16	17	19	20	22	23
J2500	3	4	5	6	9	11	12	13	14	15	17	18	19	21	25
J2501	1	2	3	4	5	6	7	8	9	11	19	20	22	23	25
J2502	2	3	4	5	9	11	12	13	15	18	20	21	23	24	25
J2503	1	2	3	4	6	7	9	10	11	12	13	18	19	20	22
