Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
76;30/12/2000;0;6;7;10;18;22;29;30;31;48;50;52;55;56;61;67;68;80;86;96;R$0,00;R$30.763,96;R$2.146,32;R$102,16;R$16,35;-;R$173.028,83
77;03/01/2001;0;2;5;7;16;27;28;31;32;38;41;49;56;76;80;83;85;89;91;98;R$0,00;R$18.056,90;R$1.263,98;R$65,89;R$8,99;-;R$42.132,77
78;06/01/2001;7;21;24;29;33;36;41;45;46;53;63;67;71;72;81;83;84;86;87;94;R$0,00;R$29.420,92;R$2.315,53;R$111,26;R$17,76;-;R$0,00
79;10/01/2001;2;3;4;7;9;15;20;26;30;37;38;43;47;51;55;67;77;85;86;87;R$0,00;R$24.219,58;R$2.140,96;R$109,70;R$16,85;-;R$0,00
80;13/01/2001;0;6;12;17;20;22;30;36;41;42;50;55;77;81;86;88;91;93;95;98;R$1.208.284,75;R$18.838,35;R$1.116,62;R$67,68;R$12,22;-;R$245.276,29
81;17/01/2001;14;16;23;30;33;39;43;47;52;63;65;67;68;74;83;86;87;92;94;97;R$109.348,66;R$12.678,10;R$745,44;R$47,65;R$13,68;-;R$48.599,41
82;20/01/2001;1;6;14;21;22;42;47;48;49;52;53;59;62;64;69;79;85;88;90;93;R$0,00;R$48.927,01;R$3.494,79;R$159,19;R$23,55;-;R$0,00
83;24/01/2001;0;4;11;13;30;37;40;43;44;45;50;51;61;65;71;74;76;79;83;85;R$569.187,20;R$17.698,51;R$1.531,60;R$84,71;R$15,06;-;R$379.458,17
84;27/01/2001;2;3;4;8;11;12;16;19;22;25;42;45;50;55;57;65;68;81;88;95;R$631.571,69;R$22.160,41;R$1.141,05;R$76,69;R$12,98;-;R$210.523,91
85;31/01/2001;2;4;7;10;13;23;25;30;31;36;44;45;47;51;58;60;63;71;84;92;R$206.261,87;R$13.095,99;R$992,84;R$65,17;R$12,28;-;R$137.507,93
86;03/02/2001;1;14;19;24;26;33;38;42;45;47;51;59;60;61;64;71;87;96;98;99;R$0,00;R$54.266,80;R$2.067,31;R$115,19;R$19,50;-;R$217.067,20
87;07/02/2001;6;15;17;24;30;42;43;47;51;53;54;59;67;83;85;87;93;96;98;99;R$0,00;R$7.527,00;R$588,59;R$39,54;R$11,48;-;R$165.595,60
88;10/02/2001;11;17;23;28;30;33;41;45;46;47;51;57;60;66;76;77;84;86;94;95;R$0,00;R$42.454,10;R$1.900,93;R$94,13;R$14,99;-;R$0,00
89;14/02/2001;1;11;17;25;33;41;44;48;50;56;59;60;63;64;67;68;76;83;86;88;R$0,00;R$44.015,33;R$1.445,76;R$75,76;R$13,03;-;R$0,00
90;17/02/2001;17;20;24;25;26;31;32;34;37;52;55;57;62;66;73;80;88;92;93;94;R$3.364.314,03;R$30.103,33;R$2.454,78;R$124,90;R$18,98;-;R$369.387,65
91;21/02/2001;0;8;14;22;23;25;26;27;31;34;35;36;55;58;64;66;67;81;85;91;R$0,00;R$23.067,80;R$1.817,46;R$97,01;R$14,08;-;R$0,00
92;24/02/2001;5;13;21;27;29;35;42;48;51;55;58;60;61;62;63;70;86;89;90;92;R$1.127.111,33;R$37.627,19;R$3.010,17;R$140,59;R$21,52;-;R$0,00
93;03/03/2001;1;7;14;19;20;28;34;43;49;52;53;54;69;74;77;81;82;84;90;94;R$369.801,91;R$18.964,20;R$2.608,83;R$132,73;R$20,78;-;R$0,00
94;07/03/2001;7;13;14;21;23;26;37;42;46;47;54;59;60;67;72;83;84;88;90;94;R$0,00;R$58.225,70;R$2.172,60;R$117,51;R$18,25;-;R$0,00
