Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
1351;25/05/2013;2;5;8;9;18;33;34;39;40;42;45;51;53;76;79;81;82;90;93;96;R$191.458,75;R$54.702,50;R$2.279,27;R$175,55;R$27,40;-;R$0,00
1352;29/05/2013;0;1;10;21;28;30;36;48;49;50;63;70;72;74;75;76;77;79;82;83;R$0,00;R$53.180,03;R$2.532,38;R$142,80;R$24,22;-;R$0,00
1353;01/06/2013;0;4;5;15;20;23;38;42;45;46;58;65;67;71;75;76;85;91;93;98;R$0,00;R$21.780,60;R$2.139,17;R$136,62;R$22,43;-;R$0,00
1354;05/06/2013;4;7;16;22;24;29;30;41;48;51;58;59;61;68;76;79;81;82;83;91;R$0,00;R$51.003,54;R$4.250,30;R$227,04;R$34,31;-;R$0,00
1355;08/06/2013;3;11;13;14;19;26;41;43;46;47;48;49;56;57;61;73;79;93;96;97;R$1.110.791,90;R$16.530,12;R$1.574,30;R$120,83;R$21,55;-;R$148.771,10
1356;12/06/2013;6;11;15;16;20;27;35;41;45;51;63;64;68;74;75;77;81;90;91;99;R$0,00;R$37.813,63;R$1.532,98;R$162,24;R$28,54;-;R$0,00
1357;15/06/2013;4;6;7;8;30;31;34;37;39;45;48;53;68;69;74;75;78;80;83;93;R$0,00;R$62.855,65;R$2.394,50;R$158,72;R$25,86;-;R$0,00
1358;19/06/2013;3;4;7;16;17;18;20;22;27;35;37;41;42;46;49;57;59;65;72;87;R$1.485.719,27;R$14.626,23;R$1.638,79;R$86,59;R$16,23;-;R$0,00
1359;22/06/2013;2;9;10;25;28;33;38;40;46;53;60;61;68;75;76;77;83;91;93;99;R$0,00;R$14.682,14;R$1.805,19;R$121,59;R$21,50;-;R$0,00
1360;26/06/2013;1;2;14;17;26;29;35;37;47;49;53;58;59;61;70;71;72;76;95;96;R$0,00;R$68.126,03;R$2.962,01;R$181,70;R$29,05;-;R$102.189,04
1361;29/06/2013;10;20;27;31;32;34;37;45;48;52;54;56;57;59;60;61;68;71;73;94;R$0,00;R$31.360,12;R$1.639,75;R$82,43;R$18,67;-;R$0,00
1362;03/07/2013;19;20;22;26;31;32;34;35;41;48;51;52;58;64;65;75;76;83;86;99;R$0,00;R$130.110,23;R$2.551,18;R$176,20;R$28,18;-;R$0,00
1363;06/07/2013;2;3;14;17;25;32;35;36;46;50;51;57;63;64;65;66;74;81;84;85;R$2.652.500,80;R$30.418,81;R$2.204,26;R$144,90;R$23,65;-;R$0,00
1364;10/07/2013;6;14;17;26;29;37;38;41;42;51;53;57;64;66;67;68;69;78;91;94;R$0,00;R$36.055,84;R$2.575,42;R$147,60;R$22,15;-;R$0,00
1365;13/07/2013;2;6;16;18;27;40;44;53;54;62;64;65;76;77;80;81;82;84;89;92;R$0,00;R$43.559,86;R$2.420,00;R$164,17;R$27,22;-;R$0,00
1366;17/07/2013;2;3;7;8;15;27;33;38;53;54;60;65;71;73;79;80;88;91;93;94;R$0,00;R$41.920,55;R$2.307,55;R$149,00;R$24,78;-;R$0,00
1367;20/07/2013;0;1;18;19;21;26;31;36;41;42;43;62;76;78;81;83;89;90;97;99;R$0,00;R$34.093,41;R$2.082,04;R$149,00;R$18,12;-;R$0,00
1368;24/07/2013;8;13;15;19;22;28;30;34;36;37;40;42;45;47;50;60;66;73;90;95;R$0,00;R$32.347,54;R$1.760,41;R$115,03;R$20,51;-;R$129.390,16
1369;27/07/2013;1;5;6;9;13;15;23;24;31;40;41;55;60;65;68;69;72;75;81;87;R$0,00;R$40.843,77;R$2.599,15;R$157,99;R$26,89;-;R$0,00
1370;31/07/2013;3;5;7;9;10;20;21;24;40;43;46;48;53;57;58;66;75;78;88;97;R$0,00;R$44.949,13;R$1.691,63;R$127,36;R$21,65;-;R$157.321,96
1371;03/08/2013;1;13;16;18;24;35;39;41;42;44;57;60;69;71;73;79;86;90;94;99;R$4.681.664,64;R$18.898,29;R$1.654,69;R$119,37;R$21,78;-;R$179.533,75
1372;07/08/2013;3;5;12;19;20;23;26;28;34;35;39;50;54;64;66;68;86;87;91;99;R$0,00;R$25.255,00;R$1.993,81;R$126,95;R$22,13;-;R$0,00
1373;10/08/2013;18;24;29;30;33;38;43;44;55;57;63;68;70;73;74;86;87;90;93;97;R$0,00;R$42.905,66;R$1.727,74;R$119,62;R$21,38;-;R$0,00
1374;14/08/2013;0;2;4;5;13;18;19;20;31;32;33;41;56;61;64;68;69;90;93;94;R$0,00;R$60.930,22;R$2.176,08;R$159,33;R$26,74;-;R$0,00
1375;17/08/2013;1;3;6;9;10;21;28;30;31;42;57;59;60;61;68;83;85;87;90;93;R$1.064.877,48;R$35.053,06;R$1.348,20;R$120,04;R$19,42;-;R$140.212,24
1376;21/08/2013;4;11;13;16;31;32;36;45;47;56;58;60;61;71;77;84;88;91;92;97;R$0,00;R$19.453,72;R$1.363,00;R$115,79;R$20,95;-;R$0,00
1377;24/08/2013;2;5;6;10;17;21;25;28;31;32;34;46;51;58;60;69;77;80;85;87;R$0,00;R$24.169,47;R$1.751,41;R$134,15;R$21,30;-;R$0,00
1378;28/08/2013;9;16;17;23;24;32;35;39;43;45;49;61;64;69;70;72;82;83;93;96;R$1.416.414,30;R$37.249,69;R$2.050,44;R$156,07;R$25,09;-;R$111.749,06
1379;31/08/2013;6;16;24;26;37;40;55;57;58;61;67;69;73;75;76;77;79;80;88;95;R$388.988,53;R$37.046,52;R$2.077,37;R$139,48;R$22,04;-;R$111.139,58
1380;04/09/2013;8;12;14;16;17;21;22;23;25;27;29;47;53;63;64;67;76;79;80;97;R$364.300,05;R$41.634,29;R$1.652,16;R$94,14;R$18,20;-;R$104.085,73
1381;06/09/2013;1;8;17;18;33;38;41;44;46;49;57;58;59;65;82;84;89;91;96;98;R$272.959,61;R$31.195,39;R$1.529,19;R$117,31;R$21,10;-;R$0,00
1382;11/09/2013;3;12;14;20;28;31;33;34;35;36;43;54;58;70;73;80;82;92;95;98;R$0,00;R$42.247,38;R$3.705,91;R$215,72;R$30,66;-;R$0,00
1383;14/09/2013;8;9;14;25;27;31;39;43;46;47;58;59;62;66;73;74;87;90;95;96;R$0,00;R$30.967,87;R$2.173,18;R$162,98;R$27,59;-;R$0,00
1384;18/09/2013;4;10;11;18;19;27;30;32;45;49;54;56;58;65;69;70;71;90;92;97;R$0,00;R$26.195,60;R$1.386,82;R$106,62;R$20,66;-;R$0,00
1385;21/09/2013;10;13;15;20;23;27;32;34;38;40;43;58;63;65;69;74;77;81;90;97;R$2.106.448,41;R$11.078,44;R$1.117,15;R$74,35;R$15,76;-;R$44.313,74
1386;25/09/2013;7;25;28;31;33;36;43;44;45;55;67;71;80;82;83;90;92;93;95;97;R$0,00;R$25.289,40;R$3.065,38;R$174,89;R$26,61;-;R$0,00
1387;28/09/2013;2;6;15;17;22;25;26;29;35;42;62;66;72;73;80;82;92;93;95;96;R$0,00;R$47.721,65;R$1.318,28;R$106,44;R$20,59;-;R$0,00
1388;02/10/2013;7;8;12;18;19;37;39;45;46;48;49;50;54;62;74;80;87;89;93;95;R$0,00;R$20.148,69;R$1.998,22;R$140,57;R$22,93;-;R$0,00
1389;05/10/2013;2;14;17;23;32;36;46;49;52;60;64;71;72;73;76;82;85;86;91;94;R$0,00;R$39.126,52;R$1.915,29;R$121,66;R$21,33;-;R$0,00
1390;09/10/2013;2;3;4;16;35;40;41;43;62;64;66;67;70;76;78;80;89;95;96;99;R$0,00;R$92.785,49;R$2.993,08;R$190,55;R$29,98;-;R$0,00
1391;11/10/2013;1;4;10;14;18;19;28;36;41;49;53;55;66;68;70;72;75;82;89;92;R$0,00;R$55.135,76;R$2.120,61;R$130,15;R$24,00;-;R$0,00
1392;16/10/2013;2;3;7;15;28;29;36;38;54;57;58;65;74;76;77;84;85;86;90;91;R$0,00;R$34.967,05;R$2.185,44;R$162,15;R$25,15;-;R$0,00
1393;19/10/2013;0;3;5;23;29;31;33;37;41;43;45;46;54;56;61;65;73;77;78;88;R$0,00;R$21.459,70;R$1.539,71;R$112,76;R$18,62;-;R$0,00
1394;23/10/2013;1;5;14;16;17;19;26;38;53;54;56;59;60;63;68;69;78;79;81;91;R$0,00;R$30.839,30;R$2.850,69;R$175,65;R$27,54;-;R$0,00
1395;26/10/2013;3;6;7;11;15;18;42;45;48;51;54;55;57;71;77;79;82;90;91;97;R$2.056.292,46;R$26.535,27;R$1.276,61;R$101,43;R$17,26;-;R$92.873,44
1396;30/10/2013;4;9;18;24;25;36;39;47;50;52;54;56;63;70;74;79;80;82;83;87;R$0,00;R$26.782,62;R$2.002,44;R$123,19;R$22,11;-;R$0,00
1397;01/11/2013;3;5;13;24;26;28;31;33;50;53;55;56;66;67;73;76;82;84;88;90;R$0,00;R$10.578,68;R$1.197,59;R$73,19;R$16,27;-;R$0,00
1398;06/11/2013;11;16;22;25;29;30;31;36;37;38;42;43;53;65;78;79;81;87;90;91;R$0,00;R$66.243,42;R$2.597,78;R$169,16;R$27,34;-;R$0,00
1399;09/11/2013;5;15;18;20;22;24;33;40;44;45;48;56;57;60;65;69;70;73;80;83;R$0,00;R$23.699,09;R$1.545,60;R$112,21;R$20,17;-;R$0,00
1400;13/11/2013;5;9;11;17;20;26;29;33;34;39;58;62;64;66;70;74;77;85;91;99;R$0,00;R$34.405,36;R$1.699,03;R$119,38;R$20,73;-;R$137.621,44
1401;16/11/2013;1;4;10;13;15;16;21;22;23;29;30;35;49;64;72;77;79;80;88;90;R$0,00;R$33.030,88;R$1.727,11;R$128,32;R$21,39;-;R$0,00
1402;20/11/2013;6;13;15;16;20;29;34;37;38;47;49;58;61;66;67;80;82;85;86;93;R$0,00;R$40.171,94;R$2.130,33;R$167,54;R$25,92;-;R$140.601,79
1403;23/11/2013;2;7;14;16;20;25;27;30;31;35;36;40;42;46;51;65;68;72;82;98;R$0,00;R$26.104,39;R$2.406,79;R$141,77;R$22,68;-;R$169.678,51
1404;27/11/2013;4;9;15;23;24;29;30;33;40;43;44;46;49;51;54;71;73;84;86;95;R$4.936.074,99;R$44.805,21;R$2.312,52;R$144,16;R$23,36;-;R$179.220,82
1405;30/11/2013;0;4;6;15;24;25;35;38;41;42;50;55;58;65;71;80;87;89;96;97;R$0,00;R$40.188,17;R$2.511,76;R$191,73;R$29,21;-;R$0,00
1406;04/12/2013;2;9;17;21;25;27;29;32;38;43;60;67;69;70;79;82;84;87;94;97;R$0,00;R$25.193,04;R$2.290,28;R$132,09;R$23,27;-;R$0,00
1407;07/12/2013;6;14;17;24;26;40;51;54;56;68;70;73;75;78;83;84;85;86;90;93;R$0,00;R$35.007,43;R$2.353,44;R$159,99;R$25,44;-;R$0,00
1408;11/12/2013;5;9;20;23;32;33;43;46;48;50;51;52;57;72;74;78;85;88;89;95;R$0,00;R$33.693,03;R$2.642,59;R$157,44;R$24,65;-;R$0,00
1409;14/12/2013;4;15;25;26;34;44;58;63;69;72;73;78;79;83;84;86;87;89;92;93;R$2.873.030,12;R$15.850,78;R$1.229,25;R$102,13;R$18,78;-;R$150.582,41
1410;18/12/2013;10;11;13;14;21;22;25;38;39;41;48;54;55;56;60;69;72;73;76;85;R$0,00;R$31.093,75;R$2.530,89;R$166,70;R$26,70;-;R$108.828,09
1411;21/12/2013;0;5;6;9;15;23;25;27;36;43;45;47;51;55;59;69;83;89;94;97;R$0,00;R$20.068,84;R$1.222,47;R$87,76;R$11,50;-;R$0,00
1412;26/12/2013;0;12;13;19;20;21;23;30;33;35;36;37;48;58;62;66;67;76;83;88;R$0,00;R$32.432,66;R$2.006,14;R$151,27;R$23,45;-;R$0,00
1413;28/12/2013;8;13;21;24;35;37;39;43;47;48;53;58;60;76;81;83;87;90;94;97;R$870.001,26;R$24.089,19;R$1.720,66;R$127,95;R$21,65;-;R$54.200,68
1414;31/12/2013;29;36;39;41;43;45;54;58;59;60;66;70;75;76;81;83;86;94;95;98;R$0,00;R$62.503,91;R$1.582,38;R$113,89;R$21,64;-;R$62.503,91
1415;04/01/2014;1;4;6;7;9;10;18;21;22;33;40;46;52;61;62;69;75;84;87;95;R$0,00;R$21.523,99;R$2.212,75;R$146,36;R$24,47;-;R$0,00
1416;09/01/2014;12;15;22;31;33;37;40;42;45;46;53;57;67;73;82;83;85;88;95;99;R$1.184.724,31;R$24.756,68;R$1.528,19;R$103,35;R$17,38;-;R$0,00
1417;11/01/2014;3;14;16;17;24;25;34;35;37;40;46;54;55;56;62;70;71;74;76;85;R$0,00;R$13.316,68;R$1.507,55;R$98,10;R$16,31;-;R$0,00
1418;15/01/2014;11;16;19;22;31;37;41;44;48;55;60;66;72;73;76;83;85;92;95;98;R$0,00;R$18.744,01;R$1.668,99;R$115,99;R$21,30;-;R$0,00
1419;18/01/2014;5;7;8;10;18;19;21;31;32;36;39;42;45;64;71;78;80;86;97;98;R$0,00;R$33.640,64;R$2.424,55;R$185,45;R$27,43;-;R$0,00
1420;22/01/2014;12;17;23;26;27;34;35;36;39;59;60;67;68;70;73;77;79;92;93;96;R$0,00;R$28.658,08;R$2.553,69;R$154,70;R$25,27;-;R$0,00
1421;25/01/2014;5;7;13;16;18;19;21;22;29;31;37;52;55;57;65;66;71;73;90;95;R$2.903.888,45;R$11.580,80;R$1.667,74;R$86,33;R$16,24;-;R$144.759,93
1422;29/01/2014;3;10;15;16;23;29;30;33;37;40;46;52;57;67;68;70;73;84;91;94;R$0,00;R$53.981,95;R$2.426,16;R$162,40;R$25,89;-;R$0,00
1423;01/02/2014;5;6;9;12;17;23;24;27;30;36;40;46;61;66;77;79;81;89;90;94;R$0,00;R$31.361,22;R$2.787,66;R$184,69;R$27,50;-;R$125.444,85
1424;05/02/2014;9;15;16;17;21;28;49;61;64;67;76;80;86;87;88;91;92;93;94;96;R$0,00;R$62.225,99;R$2.592,75;R$183,23;R$29,64;-;R$124.451,97
1425;08/02/2014;0;4;7;10;11;12;27;28;33;37;38;45;47;56;61;62;82;83;84;90;R$1.853.445,42;R$31.299,62;R$2.874,46;R$174,31;R$28,86;-;R$140.848,31
1426;12/02/2014;0;2;5;16;18;20;21;24;30;36;37;40;52;55;58;61;68;75;80;91;R$0,00;R$21.896,85;R$1.780,23;R$111,80;R$20,28;-;R$0,00
1427;15/02/2014;7;11;12;16;25;29;34;40;41;54;63;64;67;70;71;83;88;93;94;96;R$0,00;R$18.876,36;R$2.210,74;R$169,28;R$27,41;-;R$0,00
1428;19/02/2014;0;4;14;23;24;29;31;35;45;48;53;59;62;69;71;72;74;80;88;96;R$0,00;R$27.422,19;R$2.938,09;R$172,15;R$27,88;-;R$0,00
1429;22/02/2014;1;4;8;14;17;19;27;35;36;39;41;44;59;64;66;68;70;77;89;93;R$0,00;R$9.352,46;R$1.513,51;R$84,08;R$15,53;-;R$0,00
1430;26/02/2014;0;9;11;13;19;23;26;28;37;40;51;55;68;72;75;80;85;86;92;94;R$0,00;R$30.489,43;R$1.879,48;R$129,53;R$23,10;-;R$0,00
1431;01/03/2014;0;9;10;13;14;20;22;26;34;36;39;41;47;55;58;59;69;83;92;97;R$671.400,32;R$2.191,43;R$1.749,08;R$112,84;R$21,90;-;R$151.208,82
1432;05/03/2014;2;4;5;9;27;28;29;34;38;39;40;41;42;49;52;56;57;67;77;94;R$0,00;R$64.577,46;R$2.265,88;R$145,97;R$24,65;-;R$0,00
1433;08/03/2014;7;11;15;20;23;25;31;34;36;41;42;48;62;71;76;77;82;85;86;91;R$0,00;R$35.210,85;R$2.282,19;R$140,55;R$23,86;-;R$0,00
1434;12/03/2014;13;14;20;25;33;40;47;51;53;55;56;58;66;69;71;72;79;97;98;99;R$0,00;R$35.099,35;R$1.706,22;R$130,24;R$17,02;-;R$0,00
1435;15/03/2014;0;5;10;12;15;16;17;18;34;42;45;46;47;49;55;65;75;81;95;98;R$0,00;R$27.887,42;R$1.540,74;R$108,73;R$19,05;-;R$139.437,11
1436;19/03/2014;0;2;9;14;23;26;31;32;33;37;44;49;59;65;74;78;80;83;86;89;R$0,00;R$29.023,57;R$1.865,81;R$136,27;R$23,72;-;R$0,00
1437;22/03/2014;8;9;11;16;17;19;23;37;38;39;49;51;59;61;69;77;86;90;93;97;R$3.007.442,05;R$33.885,76;R$2.259,05;R$136,63;R$23,45;-;R$0,00
1438;26/03/2014;9;16;17;38;41;48;49;51;53;54;66;68;70;73;75;76;78;79;94;96;R$0,00;R$53.209,43;R$2.564,31;R$173,88;R$27,14;-;R$0,00
1439;29/03/2014;3;4;5;9;14;19;23;24;27;28;36;51;55;58;68;74;76;79;92;98;R$0,00;R$19.236,55;R$1.969,10;R$125,64;R$20,73;-;R$0,00
1440;02/04/2014;11;19;29;32;35;37;43;52;55;59;66;72;76;80;86;89;91;92;93;96;R$0,00;R$42.280,50;R$1.893,15;R$125,63;R$20,86;-;R$0,00
1441;05/04/2014;6;12;13;16;18;19;20;27;31;41;42;48;49;61;69;78;86;90;93;96;R$0,00;R$26.086,68;R$1.827,73;R$147,12;R$22,42;-;R$0,00
1442;09/04/2014;0;3;20;28;30;32;34;35;39;45;53;56;64;65;70;77;85;89;91;92;R$0,00;R$40.860,30;R$2.252,14;R$144,74;R$23,70;-;R$0,00
1443;12/04/2014;22;28;29;36;47;51;57;58;59;60;68;69;71;80;83;86;91;93;94;96;R$3.603.549,88;R$34.890,69;R$2.079,58;R$135,07;R$22,82;-;R$78.504,05
1444;19/04/2014;3;5;12;16;23;24;27;33;35;41;46;62;81;83;85;87;89;91;98;99;R$37.261.929,79;R$23.856,24;R$1.623,13;R$122,01;R$21,30;-;R$1.025.818,50
1445;23/04/2014;11;12;18;20;34;41;48;49;51;52;54;73;75;84;86;90;94;95;96;97;R$0,00;R$32.811,48;R$2.590,38;R$152,46;R$24,39;-;R$0,00
1446;26/04/2014;1;4;8;13;16;21;22;27;39;42;43;44;46;55;62;68;70;76;86;92;R$0,00;R$29.700,47;R$1.856,28;R$124,30;R$20,64;-;R$133.652,10
1447;30/04/2014;0;1;8;13;14;18;28;30;33;42;53;55;57;61;64;80;84;86;94;99;R$0,00;R$23.633,23;R$1.666,45;R$112,83;R$21,27;-;R$129.982,77
1448;03/05/2014;3;9;15;17;18;28;40;42;43;49;53;55;58;68;69;83;84;89;95;97;R$0,00;R$33.879,13;R$2.022,63;R$138,05;R$22,50;-;R$135.516,50
1449;07/05/2014;2;3;6;7;11;17;21;26;31;40;44;47;49;57;67;69;70;77;82;86;R$2.361.189,94;R$21.273,68;R$2.567,51;R$147,61;R$24,46;-;R$0,00
1450;10/05/2014;1;2;6;8;11;20;29;32;36;47;51;61;66;72;74;79;82;88;92;96;R$0,00;R$15.163,03;R$1.673,84;R$116,07;R$21,18;-;R$128.885,70
1451;14/05/2014;6;13;18;22;26;39;43;47;48;51;58;61;65;75;77;79;86;89;92;96;R$0,00;R$24.169,72;R$2.014,14;R$116,29;R$20,28;-;R$120.848,61
1452;17/05/2014;3;8;9;11;19;20;28;35;40;48;49;56;59;69;70;84;85;90;94;95;R$1.490.263,81;R$44.502,67;R$2.119,18;R$139,18;R$25,56;-;R$133.508,00
1453;21/05/2014;7;8;9;14;15;26;32;43;44;45;49;56;58;63;69;75;78;79;82;85;R$186.769,93;R$53.362,84;R$1.377,11;R$87,82;R$19,13;-;R$106.725,67
1454;24/05/2014;0;7;30;34;35;43;51;57;66;67;68;73;77;79;83;89;90;95;97;99;R$0,00;R$31.551,27;R$1.397,84;R$120,13;R$19,64;-;R$0,00
1455;28/05/2014;3;4;7;17;25;26;30;37;38;44;48;49;52;53;54;71;72;82;91;96;R$873.335,05;R$35.847,87;R$2.472,27;R$169,09;R$26,47;-;R$107.543,62
1456;31/05/2014;3;4;6;9;10;13;32;37;38;40;45;61;65;68;69;71;72;79;82;86;R$0,00;R$44.252,56;R$2.603,09;R$142,56;R$26,21;-;R$0,00
1457;04/06/2014;4;5;15;23;28;34;36;39;40;47;61;70;73;77;83;89;90;91;92;97;R$0,00;R$37.782,44;R$1.691,75;R$151,37;R$24,02;-;R$0,00
1458;07/06/2014;0;2;8;13;17;20;29;32;35;43;46;47;49;50;55;71;75;85;90;92;R$1.450.170,09;R$63.180,86;R$1.495,41;R$126,46;R$22,00;-;R$0,00
1459;11/06/2014;4;16;17;20;22;31;33;37;38;41;45;47;48;58;62;75;78;80;81;95;R$482.931,85;R$33.959,06;R$2.869,78;R$153,61;R$25,74;-;R$101.877,19
1460;14/06/2014;2;4;7;19;31;34;37;45;54;57;60;66;69;84;85;86;87;90;93;95;R$0,00;R$17.008,30;R$2.126,04;R$155,94;R$25,47;-;R$0,00
1461;18/06/2014;1;2;6;8;13;17;21;22;23;27;34;44;50;57;61;68;74;77;95;99;R$792.960,12;R$15.892,20;R$1.381,93;R$106,70;R$19,29;-;R$95.353,16
1462;21/06/2014;0;2;16;19;34;44;45;48;58;60;61;63;64;65;71;77;80;91;92;97;R$0,00;R$31.325,07;R$2.610,42;R$173,51;R$26,85;-;R$0,00
1463;25/06/2014;0;5;19;20;25;31;34;36;43;46;47;57;62;66;73;76;77;82;91;92;R$738.819,69;R$25.790,31;R$2.175,09;R$132,74;R$21,80;-;R$0,00
1464;28/06/2014;2;3;4;5;9;16;17;35;36;38;40;51;55;56;59;60;78;82;83;85;R$406.461,83;R$5.314,22;R$1.613,24;R$101,91;R$15,94;-;R$90.341,65
1465;02/07/2014;1;10;11;15;18;32;34;37;40;42;44;46;54;61;62;79;83;91;92;93;R$334.380,30;R$95.537,23;R$3.032,93;R$194,18;R$29,32;-;R$0,00
1466;05/07/2014;4;9;14;16;20;21;28;35;41;44;50;67;76;77;82;84;85;86;90;98;R$0,00;R$22.282,23;R$2.673,87;R$187,35;R$28,37;-;R$0,00
1467;09/07/2014;2;3;12;20;25;33;34;41;43;45;48;53;64;67;77;78;80;85;86;88;R$0,00;R$18.345,07;R$2.133,15;R$146,61;R$24,19;-;R$0,00
1468;12/07/2014;2;5;8;11;14;30;35;36;37;38;49;50;54;60;62;69;74;80;87;88;R$0,00;R$59.126,50;R$2.687,57;R$183,62;R$29,81;-;R$0,00
1469;16/07/2014;1;8;11;15;18;19;21;26;30;38;42;45;54;56;63;73;76;87;92;95;R$0,00;R$21.310,63;R$2.038,41;R$138,34;R$23,16;-;R$0,00
1470;19/07/2014;0;10;13;17;18;22;30;31;32;43;45;46;65;73;74;82;85;87;97;99;R$0,00;R$28.907,42;R$2.016,80;R$142,51;R$23,35;-;R$0,00
1471;23/07/2014;2;4;10;13;23;27;39;41;47;49;54;57;60;63;64;65;66;71;83;87;R$0,00;R$45.513,53;R$2.815,27;R$158,91;R$24,83;-;R$0,00
1472;26/07/2014;0;3;6;8;10;12;21;30;31;37;41;43;64;65;67;68;72;76;81;86;R$0,00;R$35.833,59;R$2.349,74;R$164,52;R$25,67;-;R$0,00
1473;30/07/2014;5;6;8;9;12;21;24;25;40;53;56;64;70;73;79;84;87;92;94;96;R$4.396.246,12;R$50.699,11;R$2.127,23;R$158,30;R$24,23;-;R$152.097,32
1474;02/08/2014;4;14;16;17;20;22;26;30;36;39;47;51;52;54;57;59;64;70;71;92;R$0,00;R$25.544,19;R$1.915,81;R$138,42;R$22,90;-;R$0,00
1475;06/08/2014;1;6;7;15;25;30;34;38;41;45;49;58;60;62;75;78;84;91;93;98;R$0,00;R$15.638,84;R$1.484,70;R$111,49;R$19,47;-;R$0,00
1476;09/08/2014;0;5;7;17;19;23;30;35;36;37;44;46;49;70;74;87;88;90;95;99;R$0,00;R$18.568,85;R$1.768,46;R$129,87;R$21,80;-;R$0,00
1477;13/08/2014;6;16;17;18;21;24;27;42;43;52;57;59;61;63;67;71;75;80;90;92;R$0,00;R$124.567,81;R$2.896,93;R$196,85;R$29,15;-;R$124.567,81
1478;16/08/2014;0;2;5;15;17;40;48;49;52;62;63;68;71;78;81;83;88;94;97;98;R$0,00;R$52.709,10;R$2.833,82;R$199,17;R$31,60;-;R$0,00
1479;20/08/2014;3;7;10;12;15;20;28;30;34;35;43;51;60;61;69;71;72;80;85;99;R$0,00;R$53.956,77;R$2.193,36;R$153,70;R$24,76;-;R$0,00
1480;23/08/2014;0;1;4;5;8;13;14;17;22;26;43;54;59;60;62;66;77;87;96;97;R$1.258.729,39;R$22.426,84;R$1.969,92;R$122,21;R$20,44;-;R$145.774,41
1481;27/08/2014;4;8;9;11;16;19;21;31;40;46;48;50;55;59;62;64;66;70;80;99;R$0,00;R$27.789,95;R$1.430,36;R$104,09;R$18,84;-;R$0,00
1482;30/08/2014;0;9;13;21;32;33;36;52;57;60;61;64;66;70;73;77;88;89;90;97;R$0,00;R$35.543,02;R$1.491,32;R$94,59;R$19,88;-;R$0,00
1483;03/09/2014;4;5;7;27;31;32;35;45;52;53;56;59;60;61;63;71;82;85;86;97;R$1.326.982,32;R$33.425,30;R$2.924,72;R$174,92;R$27,73;-;R$0,00
1484;06/09/2014;1;6;14;15;36;39;40;43;46;50;52;55;57;61;64;65;77;78;79;87;R$0,00;R$101.088,41;R$2.465,57;R$180,77;R$27,28;-;R$0,00
1485;10/09/2014;0;10;25;29;31;37;43;47;51;53;55;60;64;80;84;88;92;94;95;99;R$0,00;R$30.475,25;R$1.921,86;R$129,06;R$22,54;-;R$0,00
1486;13/09/2014;0;6;19;29;32;35;37;39;45;47;55;57;64;71;73;76;83;91;95;96;R$1.483.397,38;R$24.658,62;R$1.643,91;R$118,36;R$19,99;-;R$0,00
1487;17/09/2014;11;12;14;18;20;26;29;30;35;40;46;54;65;67;69;74;77;78;86;87;R$0,00;R$67.725,55;R$2.073,23;R$125,60;R$20,57;-;R$0,00
1488;20/09/2014;2;4;7;8;9;24;29;44;46;47;51;63;64;66;70;81;84;87;90;92;R$0,00;R$17.657,10;R$146,13;R$112,96;R$22,40;-;R$0,00
1489;24/09/2014;5;7;8;12;14;18;30;47;49;60;62;65;66;73;80;83;87;89;94;97;R$0,00;R$37.761,30;R$2.022,93;R$144,05;R$23,67;-;R$0,00
1490;27/09/2014;10;14;19;21;23;28;29;35;41;58;62;64;72;76;77;78;82;85;96;98;R$0,00;R$35.962,55;R$1.772,80;R$124,27;R$20,60;-;R$0,00
1491;01/10/2014;3;7;11;14;21;28;37;41;49;50;54;58;69;73;77;78;80;87;88;90;R$0,00;R$16.588,13;R$1.508,01;R$117,99;R$21,00;-;R$0,00
1492;04/10/2014;4;23;28;30;31;36;37;38;41;42;44;46;50;53;54;58;70;78;89;95;R$0,00;R$29.657,57;R$2.045,35;R$141,06;R$20,55;-;R$0,00
1493;08/10/2014;1;9;13;16;19;28;33;34;39;40;47;48;53;56;63;65;69;73;78;98;R$0,00;R$21.647,74;R$1.674,41;R$119,73;R$20,49;-;R$0,00
1494;11/10/2014;2;9;10;16;20;27;35;36;44;49;55;60;61;82;86;88;93;94;98;99;R$0,00;R$29.418,17;R$1.903,53;R$144,67;R$24,38;-;R$0,00
1495;15/10/2014;0;1;20;27;34;35;36;43;45;54;55;58;67;70;71;81;83;87;89;95;R$0,00;R$20.436,23;R$2.165,43;R$138,64;R$21,12;-;R$163.489,83
1496;18/10/2014;3;5;11;12;16;17;22;24;31;32;37;57;60;61;77;81;84;85;86;95;R$0,00;R$39.208,78;R$2.384,32;R$149,42;R$24,08;-;R$0,00
1497;22/10/2014;0;9;15;19;21;26;30;44;49;50;51;54;56;63;69;76;81;83;91;93;R$3.408.431,60;R$26.139,78;R$1.767,91;R$120,82;R$22,05;-;R$182.978,48
